"Year","State","Commodity","Value"
2024,"TEXAS","CORN",18
2023,"TEXAS","CORN",18
2022,"TEXAS","CORN",15
2021,"TEXAS","CORN",21
2020,"TEXAS","CORN",18
2019,"TEXAS","CORN",20
2018,"TEXAS","CORN",16
2017,"TEXAS","CORN",22
2016,"TEXAS","CORN",17
2015,"TEXAS","CORN",21
2014,"TEXAS","CORN",22
2013,"TEXAS","CORN",19
2012,"TEXAS","CORN",19
2011,"TEXAS","CORN",12
2010,"TEXAS","CORN",18
2009,"TEXAS","CORN",21
2008,"TEXAS","CORN",21
2007,"TEXAS","CORN",23
2006,"TEXAS","CORN",15
2005,"TEXAS","CORN",20
2004,"TEXAS","CORN",23
2003,"TEXAS","CORN",18
2002,"TEXAS","CORN",18.5
2001,"TEXAS","CORN",17
2000,"TEXAS","CORN",20
1999,"TEXAS","CORN",21
1998,"TEXAS","CORN",19
1997,"TEXAS","CORN",23.5
1996,"TEXAS","CORN",16
1995,"TEXAS","CORN",22
1994,"TEXAS","CORN",21
1993,"TEXAS","CORN",20
1992,"TEXAS","CORN",19
1991,"TEXAS","CORN",17
1990,"TEXAS","CORN",13
1989,"TEXAS","CORN",18.5
1988,"TEXAS","CORN",13
1987,"TEXAS","CORN",19
1986,"TEXAS","CORN",18.5
1985,"TEXAS","CORN",18.5
1984,"TEXAS","CORN",20
1983,"TEXAS","CORN",14.5
1982,"TEXAS","CORN",18
1981,"TEXAS","CORN",17
1980,"TEXAS","CORN",16
1979,"TEXAS","CORN",16.5
1978,"TEXAS","CORN",15
1977,"TEXAS","CORN",16.5
1976,"TEXAS","CORN",16
1975,"TEXAS","CORN",15.5
